id,AssessTot,LotFront,NumFloors,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,YearBuilt,CommFAR,PopDensity,MedIncome,NumofHouses,EduRate,UnemployedRate,IfAlter,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Zone,LandUse
129,33367050,80.25,33,368315,0,364483,3832,0,0,0,0,1983,15,32728,123691,2155,0.994,0.027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
132,33721650,79,31,309381,0,298081,11300,0,0,0,0,1983,15,32728,123691,2155,0.994,0.027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
133,57928950,105.08,33,650740,0,633379,15361,0,2000,0,0,1913,15,32728,123691,2155,0.994,0.027,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
134,27445050,79.75,21,335184,0,330184,5000,0,0,0,0,1917,15,32728,123691,2155,0.994,0.027,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
135,32310900,78,23,16658,286428,0,16658,0,0,0,0,1900,15,32728,123691,2155,0.994,0.027,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
136,49352400,277.58,32,860889,0,856889,3500,0,500,0,0,1923,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
137,8215650,53.25,18,143000,0,134940,8060,0,0,0,0,1900,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
138,28062000,116.25,21,389927,0,383317,6610,0,0,0,0,1904,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
139,24977250,81.75,38,300676,0,279778,20398,0,500,0,0,1927,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
140,43392150,124.87,19,345540,0,278310,5300,9200,0,0,52730,1897,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
141,99039150,362.33,50,1165659,0,1156659,9000,0,0,0,0,1930,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
142,24021450,195.92,23,240279,0,240279,0,0,0,0,0,1904,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
143,65694150,121.5,27,466820,0,466820,0,0,0,0,0,1956,15,77877,124194,5254,0.988,0.037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
144,103000000,214.08,38,974958,0,957364,17594,0,0,0,0,1961,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
145,1297350,49.75,7,15995,0,14595,1400,0,0,0,0,1983,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
146,33463350,88.08,46,370000,0,362072,7928,0,0,0,0,1932,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
147,13143600,80.33,20,205940,0,195940,10000,0,0,0,0,1913,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
149,27798300,130.75,31,406025,0,397073,8952,0,0,0,0,1968,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
152,47382750,106.67,21,20000,498034,0,20000,0,0,0,0,1900,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
153,11771550,107,20,237000,0,227300,9700,0,0,0,0,1902,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
158,41176350,112.5,37,22000,378531,0,12000,10000,0,0,0,1929,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
162,18546750,116,23,11000,228121,0,11000,0,0,0,0,1926,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
163,25876800,119.75,24,292466,0,281056,11410,0,0,0,0,1962,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
171,864000,21.25,4,5355,2520,0,5355,0,0,0,0,1920,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
175,1641150,38,5,12000,0,2400,8400,0,1200,0,0,1920,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
176,6794100,92.08,14,105000,0,105000,0,0,0,0,0,1907,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
177,4857750,42.83,7,1600,0,0,1600,0,0,0,0,1920,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
178,866700,16.25,3,3469,0,2313,1156,0,0,0,0,1903,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
180,985608,17.83,5.5,1500,7190,0,1500,0,0,0,0,1900,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
181,941010,18.33,5,5472,5472,0,5472,0,0,0,0,1900,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
182,68207400,230.33,35,661283,0,646657,14626,0,0,0,0,1928,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
183,7249050,98.75,12,97596,0,97596,0,0,0,0,0,1920,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,L Manhattan,5
193,75163950,146.42,26,782883,0,759723,4219,18941,0,0,0,1983,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
197,59089050,138.83,21,20000,467404,0,20000,0,0,0,0,1972,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
198,874800,25.83,4,6800,0,0,5100,0,1700,0,0,1920,15,77877,124194,5254,0.988,0.037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
201,311782509,415,53,3583167,0,3583167,0,0,0,0,0,1973,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
202,69432300,214.83,26,541568,0,541268,300,0,0,0,0,1969,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
203,64362150,55,22,29960,443500,0,12500,17460,0,0,0,1969,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
205,1839150,360,5,19568,0,16568,3000,0,0,0,0,1920,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,L Manhattan,8
206,114000000,216,36,973587,0,929884,479,29785,0,0,13439,1987,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
207,74371050,216,24,990250,0,982128,8122,0,0,0,0,1968,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
209,6314850,328.42,1,199625,0,0,0,0,0,0,199625,1900,3.4,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
210,7717500,352.25,1,202275,0,0,0,0,0,0,202275,1982,3.4,77877,124194,5254,0.988,0.037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
211,6291900,273.58,1,169425,0,0,0,0,0,0,169425,1900,3.4,77877,124194,5254,0.988,0.037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
212,41600700,103,33,582412,0,558708,16051,0,7653,0,0,1929,15,77877,124194,5254,0.988,0.037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,L Manhattan,5
213,22785455,118.58,27,126999,133018,0,0,0,0,0,126999,1965,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
216,39434850,117.25,29,463664,0,451164,7500,0,5000,0,0,1969,15,77877,124194,5254,0.988,0.037,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
